BlueTeam;Dragons;RedTeam
7;1;2
5;2;9
1;2;10
8;-2;3
6;2;8
3;-1;7
10;-2;5
9;-1;2
4;3;6
4;-5;1
3;-1;6
5;-2;4
1;0;8
2;2;10
7;4;9
3;0;1
6;1;7
8;1;5
4;-3;2
10;0;9
5;-2;3
7;3;10
1;-1;6
9;-4;4
1;-1;7
3;-4;2
4;-4;10
6;2;5
2;4;8
8;2;9
10;-3;8
9;2;3
2;1;6
7;1;4
5;-1;1
6;3;9
1;-4;2
5;-4;7
3;2;10
8;-5;4
2;0;5
4;-1;3
9;-2;1
7;-1;8
10;-2;6
3;1;8
10;3;1
6;1;4
9;-2;5
2;-4;7
2;0;9
7;-4;3
8;0;6
1;0;4
5;0;10
9;3;7
10;-2;2
4;4;5
6;0;3
8;-3;1
2;4;4
7;5;6
9;1;10
5;4;8
10;-2;7
4;1;9
3;-2;5
6;-3;1
8;-3;2
1;3;3
5;-1;6
9;-2;8
7;-1;1
2;1;3
10;-1;4
1;1;5
8;-1;10
3;-2;9
4;-3;7
6;4;2
4;1;8
2;-4;1
9;-3;6
10;-1;3
7;-5;5
6;0;10
8;0;7
5;-2;2
1;3;9
3;-1;4
