BlueTeam;Gold;RedTeam
7;6.6000000000000085;2
5;13.299999999999997;9
1;10.899999999999999;10
8;0.19999999999998863;3
6;11.299999999999997;8
3;6.900000000000006;7
10;-0.6999999999999886;5
9;-5.899999999999999;2
4;14.700000000000003;6
4;-9.599999999999994;1
3;-6.799999999999997;6
5;4.599999999999994;4
1;13.5;8
2;12.200000000000003;10
7;3.1000000000000014;9
3;10.700000000000003;1
6;13.499999999999993;7
8;1.1000000000000014;5
4;-7.100000000000001;2
10;9.199999999999996;9
5;-12.299999999999997;3
7;12.799999999999997;10
1;12.5;6
9;-12.700000000000003;4
1;9.400000000000006;7
3;-8.100000000000001;2
4;-9.199999999999996;10
6;13.699999999999996;5
2;11.700000000000003;8
8;-8.199999999999996;9
10;-12.199999999999996;8
9;4.599999999999994;3
2;3.5;6
7;9.899999999999999;4
5;-9.799999999999997;1
6;6.299999999999997;9
1;-6.5;2
5;-0.7000000000000028;7
3;11.5;10
8;-13.200000000000003;4
2;-0.20000000000000284;5
4;-13.299999999999997;3
9;-10;1
7;8.799999999999997;8
10;-9.200000000000003;6
3;6.199999999999996;8
10;6.5;1
6;3.299999999999997;4
9;-7.800000000000004;5
2;-14;7
2;12.200000000000003;9
7;-8.5;3
8;9.800000000000004;6
1;-13.600000000000001;4
5;7.100000000000001;10
9;7.300000000000004;7
10;-4.800000000000004;2
4;12.899999999999999;5
6;-5.900000000000006;3
8;1;1
2;3.6999999999999886;4
7;9.700000000000003;6
9;6;10
5;13.600000000000001;8
10;-15.5;7
4;10.300000000000004;9
3;10.600000000000001;5
6;-13.800000000000004;1
8;5.400000000000006;2
1;10.000000000000007;3
5;8.299999999999997;6
9;-8.5;8
7;-5.800000000000011;1
2;7;3
10;-11;4
1;-1.7000000000000028;5
8;5.800000000000004;10
3;-5.700000000000003;9
4;8;7
6;2.9000000000000057;2
4;8.100000000000001;8
2;-9.5;1
9;-11.600000000000001;6
10;-3.299999999999997;3
7;-10.299999999999997;5
6;9.699999999999996;10
8;-6.400000000000006;7
5;-9.499999999999993;2
1;11.299999999999997;9
3;-13.700000000000003;4
