BlueTeam;Kills;RedTeam
7;2;2
5;14;9
1;8;10
8;-3;3
6;13;8
3;7;7
10;-6;5
9;-9;2
4;15;6
4;-14;1
3;-6;6
5;7;4
1;16;8
2;12;10
7;-1;9
3;10;1
6;16;7
8;9;5
4;-6;2
10;11;9
5;-10;3
7;8;10
1;16;6
9;-8;4
1;15;7
3;-7;2
4;-12;10
6;14;5
2;10;8
8;-10;9
10;-10;8
9;9;3
2;2;6
7;10;4
5;-9;1
6;8;9
1;-8;2
5;-3;7
3;22;10
8;-9;4
2;-6;5
4;-13;3
9;-12;1
7;12;8
10;-11;6
3;8;8
10;15;1
6;3;4
9;-7;5
2;-14;7
2;12;9
7;-12;3
8;6;6
1;-13;4
5;2;10
9;5;7
10;1;2
4;18;5
6;-4;3
8;4;1
2;5;4
7;10;6
9;6;10
5;13;8
10;-13;7
4;7;9
3;8;5
6;-14;1
8;15;2
1;8;3
5;9;6
9;-7;8
7;-6;1
2;8;3
10;-12;4
1;0;5
8;-2;10
3;-12;9
4;5;7
6;9;2
4;8;8
2;-13;1
9;-11;6
10;1;3
7;-15;5
6;10;10
8;-6;7
5;-11;2
1;8;9
3;-13;4
