BlueTeam;RedTeam;Winner;GoldBlue;GoldRed;KillsBlue;KillsRed;CsBlue;CsRed;TowersBlue;TowersRed;BaronsBlue;BaronsRed;DragonsBlue;DragonsRed
7;2;7;71.2;64.6;19;17;1203;1125;9;3;1;1;3;2
5;9;5;72.5;59.2;21;7;1125;1269;10;2;2;0;3;1
1;10;1;51.1;40.2;15;7;1269;1271;8;1;1;0;3;1
8;3;3;71.6;71.4;14;17;1271;905;6;8;1;1;2;4
6;8;6;54.9;43.6;16;3;905;805;11;1;1;0;3;1
3;7;3;71.9;65;20;13;805;1203;7;6;1;0;2;3
10;5;5;81.4;82.1;15;21;1203;1264;11;9;2;1;2;4
9;2;2;57.1;63;11;20;1264;918;3;8;1;1;2;3
4;6;4;53.7;39;20;5;918;936;11;2;1;0;3;0
4;1;1;50.7;60.3;8;22;936;1246;3;7;0;1;0;5
3;6;6;62.5;69.3;13;19;1160;1151;3;9;0;2;2;3
5;4;5;61.3;56.7;15;8;1151;1004;9;5;2;0;1;3
1;8;1;60.4;46.9;22;6;1004;1156;11;1;1;0;2;2
2;10;2;52.1;39.9;14;2;1156;974;10;1;1;0;2;0
7;9;7;58.2;55.1;13;14;974;992;10;3;1;0;4;0
3;1;3;56.6;45.9;21;11;992;923;11;3;1;0;2;2
6;7;6;70.1;56.6;26;10;923;845;11;3;1;0;3;2
8;5;8;63.1;62;18;9;845;963;7;6;0;1;3;2
4;2;2;51.9;59;9;15;963;1006;3;9;0;1;1;4
10;9;10;60.3;51.1;13;2;1006;862;9;3;2;0;2;2
5;3;3;47;59.3;8;18;876;1038;3;10;0;1;1;3
7;10;7;51.5;38.7;10;2;1038;902;11;2;1;0;3;0
1;6;1;57.5;45;25;9;902;802;9;1;1;0;1;2
9;4;4;54.7;67.4;6;14;802;911;2;9;0;1;1;5
1;7;1;53.2;43.8;24;9;911;831;9;3;0;1;1;2
3;2;2;44;52.1;4;11;831;1089;3;10;0;1;0;4
4;10;10;50.6;59.8;4;16;1089;1177;4;10;0;1;0;4
6;5;6;58.4;44.7;17;3;1177;837;10;0;1;0;3;1
2;8;2;62;50.3;24;14;837;800;11;2;2;0;4;0
8;9;9;61.6;69.8;10;20;800;904;4;7;0;2;4;2
